"variable_id","mz","rt","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level"
"9.60_184.0250n",185.0322775,575.72299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.78_261.8805n",284.8696202,646.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.99_304.0905n",327.079692,659.4520002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.27_126.0318n",127.038951,676.3210002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.51_213.0637n",168.0655447,690.3100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.70_321.0695n",322.0767261,702.0979998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.70_239.0430n",194.0448193,702.0979998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14.83_504.0755n",505.0827599,889.7140002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14.83_261.0434n",262.05063,889.7140002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.61_262.1165n",263.1238108,696.8620002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16.85_129.0790n",130.0863049,1011.1840002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.48_339.0735n",340.0807844,688.8610002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.27_155.0583n",138.0549998,676.3210002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.27_185.0688n",186.0760979,676.3210002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.27_143.0583n",144.0655673,675.9469998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.98_449.0110n",450.0182366,658.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.78_133.0375n",134.0447496,646.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.78_190.0589n",191.0661644,646.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.79_316.9899n",317.9971755,647.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.70_257.1028n",280.0920089,641.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.61_588.0364n",611.0256078,636.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.56_346.0175n",369.0067045,633.6850002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.42_237.9048n",238.9132927,565.05100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.50_237.0378n",260.0270467,629.8060002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.34_133.0376n",134.0447911,620.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.25_347.0627n",348.0700765,614.9959998,"Amp","61-19-8","HMDB0000045","C00020","HILIC_69","(M+H)+",0.664652032469348,0.999646652582496,17.028410375241,0.851213207323055,"NCE25",0.993489041712386,0.959459485832581,"Michael_Snyder_HILIC_20220424",1
"10.21_382.0335n",383.0408739,612.5569998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.40_335.8816n",290.8834384,564.28000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.39_409.8180n",448.7811098,563.10199998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.37_523.7534n",562.716581,562.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.38_425.7764n",408.7731194,562.70200002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.34_387.8206n",370.8173251,560.47000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.02_123.0654n",78.06718243,541.45999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.02_119.0583n",120.06556,541.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8.94_419.1357n",420.1429546,536.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8.87_131.0583n",132.0655924,532.095,"5-aminolevulinic acid","106-60-5","HMDB0001149","C00430","HILIC_208","(M+H)+",0.271423862585607,0.99994106500619,11.1265518174021,0.933534028487163,"NCE25",0.888738175793632,0.927737861270154,"Michael_Snyder_HILIC_20220424",1
"8.72_375.0436n",398.0328698,523.31500002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7.48_138.0429n",139.0502153,448.968,"Urocanic acid","104-98-3","HMDB0000301","C00785","HILIC_452","(M+H)+",1.55721624508942,0.998061942516252,13.063019833285,0.909553570459805,"NCE25",0.662799557853532,0.80830365717078,"Michael_Snyder_HILIC_20220424",1
